ESTADO_ELECCION,NOMBRE_ASOCIACION,NUMERO_LISTA,TIPO_CANDIDATURA_PROP,NOMBRE_PROPIETARIO,NOMBRE_SUP,SEXO_PROP,SEXO_SUP
MEXICO,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,GOMEZ ALVAREZ DELFINA,GUERRERO SANCHEZ MARTHA,M,M
MEXICO,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,MARTINEZ MIRANDA HIGINIO,MORENO BASTIDA RICARDO,H,H
MICHOACAN,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,PIÑA GUDIÑO BLANCA ESTELA,ANDRADE GARCIA PELAEZ GRACIELA CARMINA,M,M
MICHOACAN,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,ARIAS SOLIS CRISTOBAL,SOLORZANO FRAGA JOSE ALFONSO PASCUAL,H,H
MORELOS,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,MEZA GUZMAN LUCIA VIRGINIA,PEÑA OCAMPO LETICIA,M,M
MORELOS,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,SALAZAR SOLORIO RADAMES,PEREZ FLORES SERGIO,H,H
NAYARIT,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,PINEDO ALONSO CORA CECILIA,ALONSO GUTIERREZ SANDRA ELIZABETH,M,M
NAYARIT,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,NAVARRO QUINTERO MIGUEL ANGEL,SEPULVEDA ARCEGA DANIEL,H,H
NUEVO LEON,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,SUAREZ GARZA ALVARO JOSE,GUTIERREZ DAVILA CESAR,H,H
NUEVO LEON,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,DIAZ DELGADO BLANCA JUDITH,MARTINEZ MARTINEZ MARTHA ELVA,M,M
OAXACA,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,HARP ITURRIBARRIA SUSANA,RUEDA GOMEZ CONCEPCION,M,M
OAXACA,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,JARA CRUZ SALOMON,GOMEZ HERNANDEZ ADOLFO,H,H
PUEBLA,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,ARMENTA MIER ALEJANDRO,ENCINAS MENESES JESUS,H,H
PUEBLA,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,DE LA SIERRA ARAMBURO NANCY,GONZALEZ DE YTA SANDRA,M,M
QUERETARO,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,HERRERA RUIZ GILBERTO,JIMENEZ YAÑEZ JUAN JOSE,H,H
QUERETARO,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,MAYA GARCIA CELIA,TOVAR SAAVEDRA LAURA ANDREA,M,M
QUINTANA ROO,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,VILLEGAS CANCHE FREYDA MARYBEL,LOPEZ GOMEZ GABRIELA,M,M
QUINTANA ROO,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,PECH VARGUEZ JOSE LUIS,MARQUEZ VALDIVIA ROGELIO,H,H
SAN LUIS POTOSI,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,DOTHE MATA PRIMO,CERVANTES ROJAS ELI CESAR EDUARDO,H,H
SAN LUIS POTOSI,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,BANDA ZERMEÑO MARIA JOSEFINA,GUERRERO DURAN GUADALUPE ANA KAREN,M,M
SINALOA,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,ROCHA MOYA RUBEN,ELENES ANGULO RAUL DE JESUS,H,H
SINALOA,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,CASTRO CASTRO IMELDA,AVILA CARRANCIO ELIZABETH,M,M
SONORA,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,TELLEZ GARCIA MARIA LILLY DEL CARMEN,CASTRO LONGORIA REINA,M,M
SONORA,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,DURAZO MONTAÑO FRANCISCO ALFONSO,BOURS GRIFFITH ARTURO,H,H
TABASCO,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,FERNANDEZ BALBOA MONICA,MANZANILLA FOJACO ADRIANA,M,M
TABASCO,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,MAY RODRIGUEZ JAVIER,PERALTA SUAREZ OVIDIO SALVADOR,H,H
TAMAULIPAS,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,VILLARREAL ANAYA AMERICO,LOPEZ VARGAS FAUSTINO,H,H
TAMAULIPAS,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,COVARRUBIAS CERVANTES MA. GUADALUPE,CANTU GONZALEZ ROSALINDA,M,M
TLAXCALA,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,RIVERA RIVERA ANA LILIA,RODRIGUEZ LOPEZ ROSA EUGENIA,M,M
TLAXCALA,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,ALVAREZ LIMA JOSE ANTONIO CRUZ,MOLINA RAMIREZ JOEL,H,H
VERACRUZ,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,NAHLE GARCIA NORMA ROCIO,SANCHEZ HERNANDEZ GLORIA,M,M
VERACRUZ,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,AHUED BARDAHUIL RICARDO,PEREZ ASTORGA ERNESTO,H,H
YUCATAN,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,CRUZ POOL HILDA MARIANA,PAREDES FLORES ANA CRISTINA,M,M
YUCATAN,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,CASTRO VAZQUEZ ROGERIO,MEDINA RODRIGUEZ EDGARDO GILBERTO,H,H
ZACATECAS,JUNTOS HAREMOS HISTORIA,1,SENADORES MR,LUEVANO CANTU MARIA SOLEDAD,INGUANZO GONZALEZ MARIA TERESA,M,M
ZACATECAS,JUNTOS HAREMOS HISTORIA,2,SENADORES MR,NARRO CESPEDES JOSE,LIMONES ZUÑIGA DOMINGO,H,H
CAMPECHE,TODOS POR MÉXICO,1,SENADORES MR,ABREU ARTIÑANO ROCIO ADRIANA,VELAZQUEZ RODRIGUEZ HILDA EUGENIA,M,M
CAMPECHE,TODOS POR MÉXICO,2,SENADORES MR,CASTRO BELLO CHRISTIAN MISHEL,MARTINEZ QUIJANO FREDY FERNANDO,H,H
CHIAPAS,TODOS POR MÉXICO,1,SENADORES MR,CANCELADO,CASTAÑON RAMIREZ NOE FERNANDO,H,H
CHIAPAS,TODOS POR MÉXICO,2,SENADORES MR,CANCELADO,LUNA LOPEZ THANIA,M,M
COAHUILA,TODOS POR MÉXICO,1,SENADORES MR,MARTINEZ GARCIA VERONICA,GALLEGOS MARTINEZ LUISA IVONE,M,M
COAHUILA,TODOS POR MÉXICO,2,SENADORES MR,ABRAMO MASSO YERICO,NERIO MALTOS ANTONIO,H,H
COLIMA,TODOS POR MÉXICO,1,SENADORES MR,BENAVIDES COBOS GABRIELA,MARTINEZ MENDOZA SONIA ALEJANDRINA,M,M
COLIMA,TODOS POR MÉXICO,2,SENADORES MR,MORENO PEÑA FERNANDO,MORALES ANGUIANO SERGIO AGUSTIN,H,H
GUERRERO,TODOS POR MÉXICO,1,SENADORES MR,AÑORVE BAÑOS MANUEL,ALVAREZ ANGLI ARTURO,H,H
GUERRERO,TODOS POR MÉXICO,2,SENADORES MR,BERNAL RESENDIZ GABRIELA,HERRERA DE LA O MARIA ADELA,M,M
HIDALGO,TODOS POR MÉXICO,1,SENADORES MR,MAYORGA DELGADO NUVIA MAGDALENA,OROPEZA OLGUIN NORA LILIANA,M,M
HIDALGO,TODOS POR MÉXICO,2,SENADORES MR,GONZALEZ MURILLO ALEJANDRO,MOLINA HERNANDEZ EMILIO ELISEO,H,H
MEXICO,TODOS POR MÉXICO,1,SENADORES MR,CAMACHO QUIROZ CESAR OCTAVIO,GARCIA CUEVAS FERNANDO ALBERTO,H,H
MEXICO,TODOS POR MÉXICO,2,SENADORES MR,DEL MORAL VELA PAULINA ALEJANDRA,ROJAS LUNA JOCELYN MARGARITA,M,M
MORELOS,TODOS POR MÉXICO,1,SENADORES MR,GARCIA YAÑEZ ANGEL,RICO PONCE JESUS MILFORD,H,H
MORELOS,TODOS POR MÉXICO,2,SENADORES MR,IBARRA CAMPOS LILIA,JIMENEZ GONZALEZ ALEJANDRA,M,M
OAXACA,TODOS POR MÉXICO,1,SENADORES MR,BOLAÑOS CACHO CUE RAUL,VILLACAÑA JIMENEZ JOSE JAVIER,H,H
OAXACA,TODOS POR MÉXICO,2,SENADORES MR,CASTRO RIOS SOFIA,PALACIOS CASTILLO MARIA CRISTINA,M,M
QUINTANA ROO,TODOS POR MÉXICO,1,SENADORES MR,HURTADO VALLEJO SUSANA,MORGA ARIAS MARTHA ELENA,M,M
QUINTANA ROO,TODOS POR MÉXICO,2,SENADORES MR,KING DE LA ROSA RAYMUNDO,MARZUCA CASTELLANOS MIGUEL ALFONSO,H,H
SAN LUIS POTOSI,TODOS POR MÉXICO,1,SENADORES MR,MAHBUB SARQUIS LUIS ANTONIO,NAVA GOMEZ JOSE EVERARDO,H,H
SAN LUIS POTOSI,TODOS POR MÉXICO,2,SENADORES MR,TERAN GUEVARA MARIA REBECA,MICHEL ORTIZ LAURA,M,M
SINALOA,TODOS POR MÉXICO,1,SENADORES MR,ZAMORA GASTELUM MARIO,GALINDO QUIÑONES HERIBERTO MANUEL,H,H
SINALOA,TODOS POR MÉXICO,2,SENADORES MR,MILLAN BUENO ROSA ELENA,MAYORQUIN URIBE DALIA SELENE,M,M
SONORA,TODOS POR MÉXICO,1,SENADORES MR,BELTRONES SANCHEZ SYLVANA,FRANCO HERNANDEZ LUZ MIREYA,M,M
SONORA,TODOS POR MÉXICO,2,SENADORES MR,ACOSTA GUTIERREZ MANUEL IGNACIO,IBARRA OTERO PROSPERO MANUEL,H,H
TLAXCALA,TODOS POR MÉXICO,1,SENADORES MR,ALVARADO VARELA EDITH ANABEL,GUTIERREZ SANCHEZ ANABELLE,M,M
TLAXCALA,TODOS POR MÉXICO,2,SENADORES MR,DOMINGUEZ ORDOÑEZ FLORENTINO,MUÑOZ MUÑOZ ISRAEL,H,H
VERACRUZ,TODOS POR MÉXICO,1,SENADORES MR,CALLEJAS ROLDAN JUAN NICOLAS,ACEVES AMEZCUA CARLOS,H,H
VERACRUZ,TODOS POR MÉXICO,2,SENADORES MR,PINETE VARGAS MARIA DEL CARMEN,PATIÑO CEJA ESTHER,M,M
YUCATAN,TODOS POR MÉXICO,1,SENADORES MR,RAMIREZ MARIN JORGE CARLOS,HABIB ABIMERHI JORGE ALBERTO,H,H
YUCATAN,TODOS POR MÉXICO,2,SENADORES MR,CAMINO FARJAT VERONICA NOEMI,LOPEZ GARCIA MARIA MARENA,M,M
ZACATECAS,TODOS POR MÉXICO,1,SENADORES MR,ANAYA MOTA CLAUDIA EDITH,SANDOVAL URBAN EVELIA,M,M
ZACATECAS,TODOS POR MÉXICO,2,SENADORES MR,RODRIGUEZ MARQUEZ RAUL,LOPEZ MAGALLANES SILVERIO,H,H
AGUASCALIENTES,POR MÉXICO AL FRENTE,1,SENADORES MR,MARQUEZ ALVARADO MARTHA CECILIA,JURADO VALADEZ ADRIANA GUADALUPE,M,M
AGUASCALIENTES,POR MÉXICO AL FRENTE,2,SENADORES MR,MARTIN DEL CAMPO MARTIN DEL CAMPO JUAN ANTONIO,LARIOS ESPARZA JUAN FRANCISCO,H,H
BAJA CALIFORNIA,POR MÉXICO AL FRENTE,1,SENADORES MR,CRUZ BLAKCLEDGE GINA ANDREA,VAZQUEZ AGUIAR IRAIS MARIA,M,M
BAJA CALIFORNIA,POR MÉXICO AL FRENTE,2,SENADORES MR,RAMOS HERNANDEZ JORGE,OVANDO PATRON JOSE LUIS,H,H
BAJA CALIFORNIA SUR,POR MÉXICO AL FRENTE,1,SENADORES MR,SALDAÑA CISNEROS MARIA GUADALUPE,VILLARREAL ZAVALA AUDELIA ESTHELA,M,M
BAJA CALIFORNIA SUR,POR MÉXICO AL FRENTE,2,SENADORES MR,PELAYO COVARRUBIAS FRANCISCO,PARTIDA ESCOBOSA JOSE PABLO,H,H
CAMPECHE,POR MÉXICO AL FRENTE,1,SENADORES MR,VALLADARES VALLE YOLANDA GUADALUPE,DE LA PARRA ISLA TERESITA,M,M
CAMPECHE,POR MÉXICO AL FRENTE,2,SENADORES MR,RAMOS ARCEO EDUARDO ENRIQUE,MORENO ZAVALA MANUEL JESUS,H,H
CHIAPAS,POR MÉXICO AL FRENTE,1,SENADORES MR,ORANTES LOPEZ MARIA ELENA,AGUILAR GARCIA PATRICIA,M,M
CHIAPAS,POR MÉXICO AL FRENTE,2,SENADORES MR,VALERA FUENTES DIEGO VALENTE,FONG DUBON ALFONSO,H,H
CHIHUAHUA,POR MÉXICO AL FRENTE,1,SENADORES MR,MADERO MUÑOZ GUSTAVO ENRIQUE,OLSON SAN VICENTE CARLOS ALFREDO,H,H
CHIHUAHUA,POR MÉXICO AL FRENTE,2,SENADORES MR,REZA GALLEGOS ROCIO ESMERALDA,YÑARRITU SALGADO MARITERE,M,M
CIUDAD DE MEXICO,POR MÉXICO AL FRENTE,1,SENADORES MR,ALVAREZ ICAZA LONGORIA EMILIO,GOMEZ HERMOSILLO MARIN ROGELIO ALBERTO,H,H
CIUDAD DE MEXICO,POR MÉXICO AL FRENTE,2,SENADORES MR,GALVEZ RUIZ BERTHA XOCHITL,BALLESTEROS MANCILLA LAURA IRAIS,M,M
COAHUILA,POR MÉXICO AL FRENTE,1,SENADORES MR,ANAYA LLAMAS JOSE GUILLERMO,DE LA PEÑA GAITÁN EDUARDO,H,H
COAHUILA,POR MÉXICO AL FRENTE,2,SENADORES MR,QUINTANA SALINAS ESTHER,SÁNCHEZ SOSA SUSANA,M,M
COLIMA,POR MÉXICO AL FRENTE,1,SENADORES MR,ABAROA LOPEZ MARIA ELENA,MANZO ALVAREZ KARINA YESENIA,M,M
COLIMA,POR MÉXICO AL FRENTE,2,SENADORES MR,LADINO OCHOA LUIS HUMBERTO,GUTIERREZ VALENCIA OSCAR MANUEL,H,H
DURANGO,POR MÉXICO AL FRENTE,1,SENADORES MR,ENRIQUEZ HERRERA JOSE RAMON,QUIÑONEZ RUIZ JUAN,H,H
DURANGO,POR MÉXICO AL FRENTE,2,SENADORES MR,FLORES ELIZONDO PATRICIA,ELYD SAENZ MARIA SALOME,M,M
GUANAJUATO,POR MÉXICO AL FRENTE,1,SENADORES MR,REYNOSO SANCHEZ ALEJANDRA NOEMI,PANIAGUA GARCIA ANA TERESA,M,M
GUANAJUATO,POR MÉXICO AL FRENTE,2,SENADORES MR,BERMÚDEZ MÉNDEZ JOSÉ ERANDI,NEGRETE MARTINEZ JUAN ANTONIO,H,H
GUERRERO,POR MÉXICO AL FRENTE,1,SENADORES MR,MOJICA MORGA BEATRIZ,ROMERO SUAREZ SILVIA,M,M
GUERRERO,POR MÉXICO AL FRENTE,2,SENADORES MR,RAMOS DEL CARMEN MARIO,DAMIAN HUATO PIOQUINTO,H,H
HIDALGO,POR MÉXICO AL FRENTE,1,SENADORES MR,MARQUEZ URIBE DARINA,OLVERA CABALLERO FRANCISCA,M,M
HIDALGO,POR MÉXICO AL FRENTE,2,SENADORES MR,ROMERO ALCANTARA ISIDRO,GUZMAN BADILLO MARIO FRANCISCO,H,H
JALISCO,POR MÉXICO AL FRENTE,1,SENADORES MR,CASTAÑEDA HOEFLICH JOSE CLEMENTE,GALARZA VILLASEÑOR JOSE ALBERTO,H,H
JALISCO,POR MÉXICO AL FRENTE,2,SENADORES MR,DELGADILLO GARCIA VERONICA,LOPEZ HERNANDEZ RUTH ALEJANDRA,M,M
MEXICO,POR MÉXICO AL FRENTE,1,SENADORES MR,ZEPEDA HERNANDEZ JUAN MANUEL,MACEDA LUNA OMAR OBED,H,H
MEXICO,POR MÉXICO AL FRENTE,2,SENADORES MR,RIVERA SANCHEZ MARIA FERNANDA,ARANDA MUELA CLAUDIA DEL ROSARIO,M,M
MICHOACAN,POR MÉXICO AL FRENTE,1,SENADORES MR,GARCIA CONEJO ANTONIO,TREJO PURECO MARCO,H,H
MICHOACAN,POR MÉXICO AL FRENTE,2,SENADORES MR,GONZALEZ SANCHEZ ALMA MIREYA,ESQUIVEL TORRES LAURA,M,M
NAYARIT,POR MÉXICO AL FRENTE,1,SENADORES MR,NUÑEZ SANCHEZ GLORIA ELIZABETH,RODRIGUEZ DOMINGUEZ MARTHA MARIA,M,M
NAYARIT,POR MÉXICO AL FRENTE,2,SENADORES MR,ACOSTA NARANJO GUADALUPE,GONZALEZ BARRIOS RODRIGO,H,H
OAXACA,POR MÉXICO AL FRENTE,1,SENADORES MR,RAMIREZ PUGA LEYVA HECTOR PABLO,LOPEZ NELIO LOPEZ LENIN,H,H
OAXACA,POR MÉXICO AL FRENTE,2,SENADORES MR,WOOLRICH FERNANDEZ PERLA MARISELA,GURRION SCOTT NOEMI SUSAN,M,M
PUEBLA,POR MÉXICO AL FRENTE,1,SENADORES MR,NAVARRO ACEVEDO NADIA,FIGUEROA ANDRADE MARIA DEL SOCORRO,M,M
PUEBLA,POR MÉXICO AL FRENTE,2,SENADORES MR,RIESTRA PIÑA MARIO GERARDO,MARTINEZ AMADOR CARLOS,H,H
QUERETARO,POR MÉXICO AL FRENTE,1,SENADORES MR,KURI GONZALEZ MAURICIO,BOTELLO MONTES JOSE ALFREDO,H,H
QUERETARO,POR MÉXICO AL FRENTE,2,SENADORES MR,MURGUIA GUTIERREZ MARIA GUADALUPE,ROJAS LORETO ESTRELLA,M,M
QUINTANA ROO,POR MÉXICO AL FRENTE,1,SENADORES MR,MARTINEZ SIMON MAYULI LATIFA,MARTINEZ CARDENAS LAURA SUSANA,M,M
QUINTANA ROO,POR MÉXICO AL FRENTE,2,SENADORES MR,RICALDE MAGAÑA JULIAN JAVIER,OLIVARES MENA RICARDO OSWALDO,H,H
SAN LUIS POTOSI,POR MÉXICO AL FRENTE,1,SENADORES MR,NOYOLA CERVANTES MA LEONOR,GAITAN DIAZ MARIA GRACIELA,M,M
SAN LUIS POTOSI,POR MÉXICO AL FRENTE,2,SENADORES MR,GAMA BASARTE MARCO ANTONIO,SALAZAR SAENZ FRANCISCO JAVIER,H,H
SINALOA,POR MÉXICO AL FRENTE,1,SENADORES MR,CUEN OJEDA HECTOR MELESIO,CORRALES BURGUEÑO VICTOR ANTONIO,H,H
SINALOA,POR MÉXICO AL FRENTE,2,SENADORES MR,TREVIÑO SALINAS SYLVIA,RAMIREZ RODRIGUEZ MARIA DE LA LUZ,M,M
SONORA,POR MÉXICO AL FRENTE,1,SENADORES MR,ASTIAZARAN GUTIERREZ ANTONIO FRANCISCO,CORRAL AVILA RAMON,H,H
SONORA,POR MÉXICO AL FRENTE,2,SENADORES MR,CUESTA MADRIGAL LETICIA ELIZABETH,VALENZUELA NEVAREZ MICHELLE LORENIA,M,M
TABASCO,POR MÉXICO AL FRENTE,1,SENADORES MR,FOCIL PEREZ JUAN MANUEL,DIAZ CARRASCO CHRISTIAN GREGORIO,H,H
TABASCO,POR MÉXICO AL FRENTE,2,SENADORES MR,VIDAL FOCIL ANA BERTHA,LIMON CORDOVA IDALIA,M,M
TAMAULIPAS,POR MÉXICO AL FRENTE,1,SENADORES MR,GARCIA CABEZA DE VACA ISMAEL,MARON MANZUR EDMUNDO JOSE,H,H
TAMAULIPAS,POR MÉXICO AL FRENTE,2,SENADORES MR,FIGUEROA SMITH MARIA ELENA,SANMIGUEL SANCHEZ IMELDA MARGARITA,M,M
TLAXCALA,POR MÉXICO AL FRENTE,1,SENADORES MR,HERNANDEZ RAMOS MINERVA,HERNANDEZ FERNANDEZ MAURA,M,M
TLAXCALA,POR MÉXICO AL FRENTE,2,SENADORES MR,MONTIEL FUENTES GELACIO,RODRIGUEZ DOMINGUEZ ALFONSO,H,H
VERACRUZ,POR MÉXICO AL FRENTE,1,SENADORES MR,REMENTERIA DEL PUERTO JULEN,PEREZ CRUZ ORESTES EUGENIO,H,H
VERACRUZ,POR MÉXICO AL FRENTE,2,SENADORES MR,COPETE ZAPOT YAZMIN DE LOS ANGELES,MARIN MARTINEZ ZEFERINA DEL CARMEN,M,M
YUCATAN,POR MÉXICO AL FRENTE,1,SENADORES MR,PAZ ALONZO RAUL,GONZALEZ CRESPO RODOLFO ENRIQUE,H,H
YUCATAN,POR MÉXICO AL FRENTE,2,SENADORES MR,PAYAN CERVERA ANA ROSA,ANCONA ROSAS ANA MARIA GUADALUPE,M,M
ZACATECAS,POR MÉXICO AL FRENTE,1,SENADORES MR,CHAVEZ CONTRERAS MARIA DE JESUS,ANAYA VAZQUEZ CLAUDIA,M,M
ZACATECAS,POR MÉXICO AL FRENTE,2,SENADORES MR,FLORES MENDOZA RAFAEL,REYES HERNANDEZ MARCO ALBERTO,H,H
BAJA CALIFORNIA SUR,CANDIDATURA INDEPENDIENTE,1,SENADORES MR,GARCIA DE LEON CORIA LORENZO RICARDO,SERRANO GARCIA MARTIN,H,H
BAJA CALIFORNIA SUR,CANDIDATURA INDEPENDIENTE,2,SENADORES MR,OJEDA ALVARADO JESUS GUADALUPE,GUEVARA SALGADO MAYRA ARACELY,M,M
CHIAPAS,CANDIDATURA INDEPENDIENTE,1,SENADORES MR,SALAZAR MENDIGUCHIA PABLO ABNER,MONTOLLA OSEGUERA GABRIEL FERNANDO,H,H
CHIAPAS,CANDIDATURA INDEPENDIENTE,2,SENADORES MR,CORZO ORNELAS KAROLYN,HERNANDEZ BIELMA CARMEN,M,M
GUERRERO,CANDIDATURA INDEPENDIENTE,1,SENADORES MR,ROMERO ESPINAL SOLEDAD,ROMERO RIVERA NANCY,M,M
GUERRERO,CANDIDATURA INDEPENDIENTE,2,SENADORES MR,HERNANDEZ VIEYRA JOSE GUADALUPE,GARCIA CASTRO NAHUM,H,H
JALISCO,CANDIDATURA INDEPENDIENTE,1,SENADORES MR,KUMAMOTO AGUILAR JOSE PEDRO,RAMIREZ RAMOS CLAUDIA ANGELICA,H,M
JALISCO,CANDIDATURA INDEPENDIENTE,2,SENADORES MR,DELGADO QUINTANA JUANA ADELFA,RAMIREZ FERNANDEZ CINTHIA GABRIELA,M,M
NUEVO LEON,CANDIDATURA INDEPENDIENTE,1,SENADORES MR,GONZALEZ RODRIGUEZ RAUL,NAÑEZ PRO JAVIER,H,H
NUEVO LEON,CANDIDATURA INDEPENDIENTE,2,SENADORES MR,GARZA CANDIA MONICA GRICELDA,ADAM TOVAR ROSA MARIA,M,M
SINALOA,CANDIDATURA INDEPENDIENTE,1,SENADORES MR,CLOUTHIER CARRILLO MANUEL JESUS,TANIYAMA CEBALLOS JOSE MIGUEL,H,H
SINALOA,CANDIDATURA INDEPENDIENTE,2,SENADORES MR,SALDAÑA GARCIA MARIA GUADALUPE,SEDANO FIERRO SOLANGEL,M,M
TLAXCALA,CANDIDATURA INDEPENDIENTE,1,SENADORES MR,CRUZ PEREZ OBED JAVIER,LEZAMA DELGADO MIGUEL,H,H
TLAXCALA,CANDIDATURA INDEPENDIENTE,2,SENADORES MR,GOMEZ MORALES VIANEY,PEREZ XOCHIPA ALMA,M,M