NOMBRE_ASOCIACION,NUMERO_LISTA,TIPO_CANDIDATURA_PROP,NOMBRE_PROPIETARIO,NOMBRE_SUP,SEXO_PROP,SEXO_SUP
PARTIDO VERDE ECOLOGISTA DE MÉXICO,7,SENADORES RP,CAMPOS DE LA FUENTE MARIA PATRICIA,AGUAYO MORALES NORMA VIVIANA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,8,SENADORES RP,RODRIGUEZ LÓPEZ PEDRO,PEREZ VALERO ERICK ALEJANDRO,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,9,SENADORES RP,VELAZQUEZ CRUZ IVANA MARCELA,TAMAYO ESPINDOLA DANIELA LORENA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,10,SENADORES RP,GONZÁLEZ MARTÍNEZ JOSE,VAZQUEZ ALEGRIA WILBER,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,11,SENADORES RP,GONZALEZ BARCELO YOLANDA DEL SOCORRO,SANCHEZ ESPINOZA NADIA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,12,SENADORES RP,CASTAÑEDA IBARRA JAVIER,GARCIA TALAVERA HUMBERTO,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,13,SENADORES RP,PRECIADO CANDELARIO YOLANDA,NANDO PRECIADO MELBA PATRICIA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,14,SENADORES RP,CARRILLO FLORES FRANCISCO ALEJANDRO,CASTILLO RODRÍGUEZ JORGE ALONSO,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,15,SENADORES RP,GUADARRAMA ZARATE MARIA GUADALUPE,GARCIA GARCIA LORENZA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,16,SENADORES RP,GUIJARRO HERNANDEZ JOSE LUIS,REYES PALACIOS ALBERTO,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,17,SENADORES RP,OREGEL CASTILLO MARICELA,VEGA BIESTRO JOANNA ALEJANDRA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,18,SENADORES RP,HURTADO SANCHEZ RAUL,DEL CASTILLO ROMERO ALFONSO,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,19,SENADORES RP,SÁNCHEZ LÓPEZ NORMA ANAY,ZAMBRANO MORALES GLORIA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,20,SENADORES RP,SANCHEZ BALLESTEROS SANTIAGO,TORRE AYALA JORGE,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,21,SENADORES RP,SANTANA DUARTE GABRIELA DEL ROSARIO,PECH PATRON TERESA DE JESUS,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,22,SENADORES RP,REYES FLORES MARTIN,GONZALEZ SALAZAR ISAURO JAVIER,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,23,SENADORES RP,RAMIREZ HERNANDEZ LILIANA,RIVERA GARCIA MARIA ALONDRA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,24,SENADORES RP,BARRERA NOVELO FERNANDO JOSÉ,AGUILAR MUÑOZ HECTOR,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,25,SENADORES RP,QUIJANO OJEDA CINTHIA DEL SOCORRO,CAMPOS SANDOVAL MABEL,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,26,SENADORES RP,RUIZ MACARIO ESTEBAN,QUINTERO UGALDE CESAR ALBERTO,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,27,SENADORES RP,ANZALMETTI GUTIERREZ MYRNA,SILVA BARRIOS ILLIANA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,28,SENADORES RP,RIVERA VILLEGAS JUAN JESUS,FLORES LIMA MIGUEL,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,29,SENADORES RP,VAZQUEZ CRUZ MIRIAM,RODRIGUEZ TRANCOSO SUSANA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,30,SENADORES RP,MUÑOZ BURGOS ARTURO,CAMACHO PRIMERO ALEJANDRO,H,H
PARTIDO VERDE ECOLOGISTA DE MÉXICO,31,SENADORES RP,MONTES CAMACHO ANA MARIA,RAMIREZ MARTINEZ GABRIELA,M,M
PARTIDO VERDE ECOLOGISTA DE MÉXICO,32,SENADORES RP,DÍAZ QUEVEDO LUIS,JUÁREZ AGUIRRE MANUEL ALEJANDRO,H,H
MOVIMIENTO CIUDADANO,1,SENADORES RP,MERCADO CASTRO DORA PATRICIA,ORTEGA DE LA CRUZ JESSICA MARIA GUADALUPE,M,M
MOVIMIENTO CIUDADANO,2,SENADORES RP,DELGADO RANNAURO DANTE ALFONSO,GARCIA SEPULVEDA SAMUEL ALEJANDRO,H,H
MOVIMIENTO CIUDADANO,3,SENADORES RP,ORANTES LOPEZ MARIA ELENA,DELGADILLO GARCIA VERONICA,M,M
MOVIMIENTO CIUDADANO,4,SENADORES RP,CHANONA BURGUETE ALEJANDRO,SAMPERIO MONTAÑO JUAN IGNACIO,H,H
MOVIMIENTO CIUDADANO,5,SENADORES RP,AVILA GARCIA VANIA ROXANA,LANDA GUERRERO NANCY YAEL,M,M
MOVIMIENTO CIUDADANO,6,SENADORES RP,VELASCO OLIVA JESUS CUAUHTEMOC,BASTIDA RODRIGUEZ JORGE,H,H
MOVIMIENTO CIUDADANO,7,SENADORES RP,FREGOSO ORTIZ MAGALY,RODRIGUEZ DE L´ORME NIKOL CARMEN,M,M
MOVIMIENTO CIUDADANO,8,SENADORES RP,MELO VELAZQUEZ JOSE FRANCISCO,TLAXCALTECO HERNANDEZ ALBERTO,H,H
MOVIMIENTO CIUDADANO,9,SENADORES RP,ABAROA LOPEZ MARIA ELENA,AVILES OSUNA MITZI,M,M
MOVIMIENTO CIUDADANO,10,SENADORES RP,ZUBIETA LOPEZ MARIO ALBERTO,MARTINEZ HERNANDEZ FRANCISCO JAVIER,H,H
MOVIMIENTO CIUDADANO,11,SENADORES RP,MACIAS CAMACHO IRMA BEATRIZ,LUNA OLVERA VIRGINIA,M,M
MOVIMIENTO CIUDADANO,12,SENADORES RP,NEGRETE DE ALBA MIGUEL ERNESTO,ELORRIAGA GONZALEZ ALFONSO REGINO,H,H
MOVIMIENTO CIUDADANO,13,SENADORES RP,BARAJAS RIVAS LILYANA,GUEVARA ROMO NALLELY,M,M
MOVIMIENTO CIUDADANO,14,SENADORES RP,CASTILLO LARA JUAN MIGUEL,MUÑIZ ORTIZ ALFREDO CUAUHTEMOC,H,H
MOVIMIENTO CIUDADANO,15,SENADORES RP,ROMERO BERRUECOS REBECA,FLORES BERRUECOS YENI,M,M
MOVIMIENTO CIUDADANO,16,SENADORES RP,CABALLERO MUÑOZ MARCOS,JARAMILLO BURIAN JOSUE,H,H
MOVIMIENTO CIUDADANO,17,SENADORES RP,DURAN GOMEZ DORA YAJAIRA,GUTIERREZ RODRIGUEZ DORA AMELIA,M,M
MOVIMIENTO CIUDADANO,18,SENADORES RP,CARBAJAL TERAN PEDRO ANTONIO,VILLARREAL HERRERA MARCO ANTONIO,H,H
MOVIMIENTO CIUDADANO,19,SENADORES RP,CANCELADO,CARRILLO MORENO MARCELINA,M,M
MOVIMIENTO CIUDADANO,20,SENADORES RP,ORTIZ FUENTES LEOBARDO,BRISEÑO MORALES LUIS ALBERTO,H,H
MOVIMIENTO CIUDADANO,21,SENADORES RP,CARDENAS SILVA ANGELICA ROSALIA,CABRERA LOMELI NADIA JACQUELINE,M,M
MOVIMIENTO CIUDADANO,22,SENADORES RP,BOJALIL ZACARIAS EDMOND ASSAD,ALCANTARA SUAREZ VICTOR HUGO,H,H
MOVIMIENTO CIUDADANO,23,SENADORES RP,PARRA PEREA BLANCA ELIZABETH,MORENO AGUILAR MIRTHA ROCIO,M,M
MOVIMIENTO CIUDADANO,24,SENADORES RP,GARCIA CORDOVA JAVIER,HURTADO CHAVEZ LUIS ROBERTO,H,H
MOVIMIENTO CIUDADANO,25,SENADORES RP,LOPEZ VELAZQUEZ IRMA YOLANDA,SEVILLA SERNA MARIA MAGDALENA,M,M
MOVIMIENTO CIUDADANO,26,SENADORES RP,BARAJAS DOCTOR FERNANDO DE JESUS,OCHOA CRESPO JORGE LUIS,H,H
MOVIMIENTO CIUDADANO,27,SENADORES RP,HERNANDEZ REYES ISIS STEPHANIE,HERNANDEZ REYES PAOLA JACQUELINE,M,M
MOVIMIENTO CIUDADANO,28,SENADORES RP,ANGULO GARCIA JORGE ALBERTO,CICERO RIVERA CARLOS MANUEL,H,H
MOVIMIENTO CIUDADANO,29,SENADORES RP,ESTRADA ALFARO IRMA WENDOLIN,CORTES MERCADO ALICIA,M,M
MOVIMIENTO CIUDADANO,30,SENADORES RP,CHANONA PEREZ HERMINIO FERNANDO,NAVA DECTOR JESUS AURELIO,H,H
MOVIMIENTO CIUDADANO,31,SENADORES RP,SANCHEZ LARA BERTHA ALICIA,FERNANDEZ CARO LAURA ELENA,M,M
MOVIMIENTO CIUDADANO,32,SENADORES RP,CANCELADO,AVILA SANCHEZ JAVIER,H,H
NUEVA ALIANZA,1,SENADORES RP,LUNA RODRIGUEZ SILVIA,TALAMANTE LEMAS DORA MARIA GUADALUPE,M,M
NUEVA ALIANZA,2,SENADORES RP,RODRIGUEZ GARCIA NOE,VARGAS CERVANTES RIGOBERTO,H,H
NUEVA ALIANZA,3,SENADORES RP,IZQUIERDO HERRERA KATYA,ESTRADA PEREZ ESMERALDA,M,M
NUEVA ALIANZA,4,SENADORES RP,RAMIREZ SANCHEZ MIGUEL,SAN MARTIN JARAMILLO JAVIER,H,H
NUEVA ALIANZA,5,SENADORES RP,LOPEZ MARAÑON ADRIANA,GODOY SERRANO NADIA ANAID,M,M
NUEVA ALIANZA,6,SENADORES RP,CAMPOS VELARDE EZEQUIEL,SALAZAR MEZA JOSE REFUGIO,H,H
NUEVA ALIANZA,7,SENADORES RP,FLORES PABLO NORMA VERÓNICA,MENDEZ CARIO KARLA GUADALUPE,M,M
NUEVA ALIANZA,8,SENADORES RP,CERRO LOZANO ENRIQUE ALEJANDRO,VELAZQUEZ MARTINEZ HECTOR AIRAM,H,H
NUEVA ALIANZA,9,SENADORES RP,SANTANA TURRUBIATES HILDA GRACIELA,IZAGUIRRE PEREZ NEREYDA,M,M
NUEVA ALIANZA,10,SENADORES RP,COOPER BARRERA DIEGO ALEJANDRO,SOTO ZUÑIGA JOSE ANGEL,H,H
NUEVA ALIANZA,11,SENADORES RP,LOPEZ GARCIA MARITZA,OSORNO GONZALEZ NELLY ELVIRA,M,M
NUEVA ALIANZA,12,SENADORES RP,CEDEÑO ALFONSO ALEXIS,BETANZOS LOPEZ ABRAHAM,H,H
NUEVA ALIANZA,13,SENADORES RP,MENA PASTRANO AURORA DEL ROCIO,DIAZ RIVERA MARTHA ELIZABETH,M,M
NUEVA ALIANZA,14,SENADORES RP,IBAÑEZ AVENDAÑO GONZALO DE JESUS,HERNANDEZ PEREZ RAMON,H,H
NUEVA ALIANZA,15,SENADORES RP,MARTINEZ DIAZ MARIA GUADALUPE,DIAZ GRANILLO MARIA DEL SAGRARIO,M,M
NUEVA ALIANZA,16,SENADORES RP,GONZALEZ GARCIA ULISES,ORTIZ REGALADO JULIO CESAR,H,H
NUEVA ALIANZA,17,SENADORES RP,URQUIZU GRAJEDA MA. DEL SOCORRO,RIOS GANDARA MAYRA,M,M
NUEVA ALIANZA,18,SENADORES RP,MONRREAL GASTELUM EFRAIN,RODRIGUEZ MONTES JORGE ALEJANDRO,H,H
NUEVA ALIANZA,19,SENADORES RP,SILVA VARGAS ANA KAREN,CRUZ GOMEZ LORENA,M,M
NUEVA ALIANZA,20,SENADORES RP,ALVA VALLECILLO BENJAMIN,MARMOLEJO CERVANTES FERNANDO,H,H
NUEVA ALIANZA,21,SENADORES RP,GUERRA BOCARDO AZALIA ACENETH,ORONA CAMACHO MARIA GUADALUPE,M,M
NUEVA ALIANZA,22,SENADORES RP,CERVANTES LEZAMA ELIAS,BARRAGAN MEZA ADALBERTO,H,H
NUEVA ALIANZA,23,SENADORES RP,VELAZQUEZ PEREZ ROSALBA,HORCASITAS DE LA ROSA DULCE MARIELA,M,M
NUEVA ALIANZA,24,SENADORES RP,NUÑEZ MURGUIA JOSE JAIME,CARRILLO PRECIADO CARLOS HUGO,H,H
NUEVA ALIANZA,25,SENADORES RP,ARANGO SANTANA ELIZABETH GUADALUPE,BAUTISTA PANE GUADALUPE,M,M
NUEVA ALIANZA,26,SENADORES RP,PEREZ MENDIETA LEOPOLDO,MORALES MONTES DE OCA ELIEZER,H,H
NUEVA ALIANZA,27,SENADORES RP,MARTINEZ RAMIREZ IVON,SAUCEDO VENEGAS MA. SOLEDAD,M,M
NUEVA ALIANZA,28,SENADORES RP,ESQUER GALAVIZ CARLOS MANUEL,DUARTE SANTACRUZ ANSELMO RAFAEL,H,H
NUEVA ALIANZA,29,SENADORES RP,CONTRERAS RICALDE ELVIA ESTHER,CARRILLO PEREZ LIA ELIZABETH,M,M
NUEVA ALIANZA,30,SENADORES RP,RIVERO OSORIO LUIS GUSTAVO,SOSA AVILA CARLOS ALFREDO,H,H
NUEVA ALIANZA,31,SENADORES RP,LOPEZ BUSTOS ENRIQUETA,AGUILETA COBOS CARMEN BEATRIZ,M,M
NUEVA ALIANZA,32,SENADORES RP,CHAVEZ SOLIS JUAN FRANCISCO DE ASIS,MERITO LEON MARIO,H,H
MORENA,1,SENADORES RP,PIÑA GUDIÑO BLANCA ESTELA,VAZQUEZ ALATORRE ANTARES GUADALUPE,M,M
MORENA,2,SENADORES RP,OSTOA ORTEGA ANIBAL,VASCONCELOS Y CRUZ HECTOR ENRIQUE,H,H
MORENA,3,SENADORES RP,SANCHEZ CORDERO DAVILA OLGA MARIA DEL CARMEN,RODRIGUEZ RAMIREZ LAURA MARIA DE JESUS,M,M
MORENA,4,SENADORES RP,MONREAL AVILA RICARDO,ROJAS DIAZ DURAN ALEJANDRO,H,H
MORENA,5,SENADORES RP,MARTINEZ Y HERNANDEZ IFIGENIA MARTHA,LUJAN URANGA BERTHA ELENA,M,M
MORENA,6,SENADORES RP,GÓMEZ URRUTIA NAPOLEÓN,PEREZ ALVARADO CANDELARIO,H,H
MORENA,7,SENADORES RP,VILLEGAS CANCHE FREYDA MARYBEL,MORA ARELLANO ELVIA MARCELA,M,M
MORENA,8,SENADORES RP,MARTINEZ CAZARES GERMAN,HACES BARBA PEDRO MIGUEL,H,H
MORENA,9,SENADORES RP,SALGADO GARCÍA NESTORA,AVILA VAZQUEZ KATYA ELIZABETH,M,M
MORENA,10,SENADORES RP,ALVAREZ LIMA JOSE ANTONIO CRUZ,CANCELADO,H,H
MORENA,11,SENADORES RP,CASTRO CASTRO IMELDA,ROMO MOLINA EUNICE RENATA,M,M
MORENA,12,SENADORES RP,MENDEZ ORTIZ CASIMIRO,PANTOJA ARZOLA ROBERTO,H,H
MORENA,13,SENADORES RP,BALDERAS ESPINOZA CLAUDIA ESTHER,VIVEROS CHAZARO TANYA CAROLA,M,M
MORENA,14,SENADORES RP,GARCIA HERNANDEZ GABRIEL,PEÑA VILLA JOSE ALEJANDRO,H,H
MORENA,15,SENADORES RP,AGUILAR CASTILLO SANTA AGUSTINA,MORALES BUSTAMANTE LUZ MARINA,M,M
MORENA,16,SENADORES RP,HOLGUIN FRANCO OMAR,ALBAVERA VELAZQUEZ JOSE APOLONIO,H,H
MORENA,17,SENADORES RP,ARGUETA BELLO GRACIELA,GONZALEZ CABALLERO MARIA EUGENIA,M,M
MORENA,18,SENADORES RP,ESQUINCA KOBEH JOSE RANULFO,CUNDAPI NUÑEZ ALBERTO ,H,H
MORENA,19,SENADORES RP,ASID GAYTAN MARTHA BEATRIZ,ROJAS NAVARRETE KARLA ANDREA,M,M
MORENA,20,SENADORES RP,MUÑOZ GOMEZ RAFAEL,HERNANDEZ PUENTE JOSE ANGEL,H,H
MORENA,21,SENADORES RP,NAMBO CADEZA YANETH,PEÑALOZA ZARATE CAROLINA,M,M
MORENA,22,SENADORES RP,LARA MENDOZA JULIO VINICIO,PEÑAFIEL SOTO CARLOS,H,H
MORENA,23,SENADORES RP,VAZQUEZ DE LA ROSA LUCRECIA,MONTES VILLALVA MARGARITA,M,M
MORENA,24,SENADORES RP,DE LA GARZA BARROSO HECTOR FERNANDO,COELLO PEDRERO FERNANDO HUMBERTO,H,H
MORENA,25,SENADORES RP,MORALES CRUZ ADELA,CORPUS ESCOBEDO ERIKA DEL ROCIO,M,M
MORENA,26,SENADORES RP,JACQUES Y MEDINA JOSE,SOTO DAVILA CARLOS,H,H
MORENA,27,SENADORES RP,ESTRADA CUELLAR LAURA AURORA,GARCIA RODRIGUEZ OLINALZIN TABITHA,M,M
MORENA,28,SENADORES RP,MAYORQUIN CARRILLO NAYAR,RODRIGUEZ MURRAY HUGO ALBERTO,H,H
MORENA,29,SENADORES RP,ARIAS GONZALEZ MARTHA ELENA,GONZALEZ LUNA KARINA ROCIO,M,M
MORENA,30,SENADORES RP,PEÑALOZA AGAMA MARCIANO NICOLAS,ESTRADA MEJIA CARLOS ALBERTO,H,H
MORENA,31,SENADORES RP,CORTES HERNANDEZ GEMA DEL CARMEN,BERAUD OSORIO NOHEMI VERONICA,M,M
MORENA,32,SENADORES RP,FLORES HERNANDEZ ISRAEL,LARA TOLEDO MANUEL,H,H
ENCUENTRO SOCIAL ,1,SENADORES RP,SARUR TORRE ADRIANA,MARTINEZ GUZMAN NORMA EDITH,M,M
ENCUENTRO SOCIAL ,2,SENADORES RP,PINEDA MORIN ABDIES,RODRIGUEZ RANGEL RIGOBERTO,H,H
ENCUENTRO SOCIAL ,3,SENADORES RP,DIAZ DELGADO BLANCA JUDITH,MARTINEZ MARTINEZ MARTHA ELVA,M,M
ENCUENTRO SOCIAL ,4,SENADORES RP,FERREIRO VELAZCO JOSE ALFREDO,HERNANDEZ HERNANDEZ INOCENCIO JUVENCIO,H,H
ENCUENTRO SOCIAL ,5,SENADORES RP,ARREGUI GUERRERO AIDA,AVONCE TRUJILLO MA DEL ROCIO,M,M
ENCUENTRO SOCIAL ,6,SENADORES RP,NAVAS RUIZ NAHUM,MARTINEZ MARTINEZ DANIEL,H,H
ENCUENTRO SOCIAL ,7,SENADORES RP,OLLERVIDES GONZALEZ ALMA ROSA,GARCIA CASTAÑEDA LILIANN KRISSTEL,M,M
ENCUENTRO SOCIAL ,8,SENADORES RP,SANTANA MONTES MARCOS,BALTAZAR GOMEZ ALFREDO SALOME,H,H
ENCUENTRO SOCIAL ,9,SENADORES RP,SANCHEZ GUZMAN YOLANDA,TONCHE CHAVEZ TOMASA,M,M
ENCUENTRO SOCIAL ,10,SENADORES RP,MORALES REYNOSO MARIO ALBERTO,HERNANDEZ ALONSO JACOBO DANIEL,H,H
ENCUENTRO SOCIAL ,11,SENADORES RP,ROBLES ALTAMIRANO CONCEPCIÓN SOFIA,RUIZ ACEVEDO MARIA TERESA,M,M
ENCUENTRO SOCIAL ,12,SENADORES RP,PEREZ ALBARRAN JESUS,ZARATE SANCHEZ JOSE,H,H
ENCUENTRO SOCIAL ,13,SENADORES RP,CERVANTES ARREDONDO RUTH,NUÑEZ GALLEGOS LUCIA JANETTE,M,M
ENCUENTRO SOCIAL ,14,SENADORES RP,HERNANDEZ ESPINOZA LUIS LINO,ACEVES BRAVO FELIX ANDRES,H,H
ENCUENTRO SOCIAL ,15,SENADORES RP,CISNEROS RODRIGUEZ MARIA DEL REFUGIO,GURRION MORENO JANICE THALIA,M,M
ENCUENTRO SOCIAL ,16,SENADORES RP,TOSTADO LUNA SERGIO,SOTO MITRE TOMAS,H,H
ENCUENTRO SOCIAL ,17,SENADORES RP,VAZQUEZ HIDALGO IRMA,HERNANDEZ ZAMURA JUANA RUTH,M,M
ENCUENTRO SOCIAL ,18,SENADORES RP,MIRANDA HURTADO FRANCISCO,SALAS ORTEGA LUIS ENRIQUE,H,H
ENCUENTRO SOCIAL ,19,SENADORES RP,GALAZ ORTEGA SILVIA GUADALUPE,GUERRERO HERNANDEZ EDNA LUZ,M,M
ENCUENTRO SOCIAL ,20,SENADORES RP,AGUILAR CARRILLO VICTOR MANUEL,LEON ORDOÑEZ LUIS ALFONSO,H,H
ENCUENTRO SOCIAL ,21,SENADORES RP,CASANOVA UC DULCE AURORA,MAGARIÑO HERNANDEZ ROSAURA,M,M
ENCUENTRO SOCIAL ,22,SENADORES RP,CELADA CASTRO RAFAEL HANZEL,NEGRETE GUZMAN RODRIGO,H,H
ENCUENTRO SOCIAL ,23,SENADORES RP,OLVERA CORDERO CLAUDIA,VILLALBA LOBATON ANA KAREN,M,M
ENCUENTRO SOCIAL ,24,SENADORES RP,LOPEZ OLIVAS JESUS,CARDIEL SOTO HECTOR SENDEL,H,H
ENCUENTRO SOCIAL ,25,SENADORES RP,PAREDES FLORES ANA CRISTINA,OJEDA MANZANILLA ANA JULIA,M,M
ENCUENTRO SOCIAL ,26,SENADORES RP,ESCOBOZA PESTAÑO FRANCISCO,ESPINOZA TAPIA FRANCISCO JAVIER,H,H
ENCUENTRO SOCIAL ,27,SENADORES RP,ZARATE SANCHEZ MA. VERONICA,APARICIO GARCIA MARIA DE JESUS,M,M
ENCUENTRO SOCIAL ,28,SENADORES RP,ORTIZ CELAYA JUAN CARLOS,VIDAL ROSIQUE ERNESTO ALONSO,H,H
ENCUENTRO SOCIAL ,29,SENADORES RP,CARCAMO JUAREZ YASMIN,GONZALEZ CASTILLO LESLIE CASANDRA,M,M
ENCUENTRO SOCIAL ,30,SENADORES RP,MONTIEL SANCHEZ JOSE,SASTRE PEREZ ALBERTO,H,H
ENCUENTRO SOCIAL ,31,SENADORES RP,VALENZUELA VALENZUELA MARIA ELENA,ELENES VALENZUELA ELSA GUADALUPE,M,M
ENCUENTRO SOCIAL ,32,SENADORES RP,REYES CERVANTES ALFREDO,OCAMPO VEGA ISAAC,H,H